command_id,user_command,rule_id,location,device,action,condition,hallucination_type,confidence,uncertain,reason,resolved,verifier_note,resolver_note,pipeline_trace,prompt_mode
CMD-011,Turn on bedroom heater when it feels nice,LLM-EC30569C,bedroom,heater,turn_on,occupancy == 1,condition_hallucination,0.3,True,The condition was underspecified and defaulted to occupancy The system could not fully resolve the issue with high confidence.,,The verifier could not safely repair the condition_hallucination.,Please rephrase the command for the heater in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-012,Turn on bedroom heater when it feels nice,LLM-0D269A04,bedroom,heater,turn_on,occupancy == 1,condition_hallucination,0.3,True,The condition was underspecified and defaulted to occupancy The system could not fully resolve the issue with high confidence.,,The verifier could not safely repair the condition_hallucination.,Please rephrase the command for the heater in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-013,Keep the house comfortable,LLM-CE5321E0,bedroom,ac,turn_on,temperature >= 27 AND occupancy == 1,ambiguous_command,0.3,True,Comfort command is abstract and may require clarification The system could not fully resolve the issue with high confidence.,,The verifier could not safely repair the ambiguous_command.,Please rephrase the command for the ac in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-013,Keep the house comfortable,LLM-CE5321E0-B,bedroom,ac,turn_on,temperature >= 27 AND occupancy == 1,ambiguous_command,0.35,True,Comfort command is abstract and may require clarification The system could not fully resolve the issue with high confidence.,,The verifier replaced unsupported fields for ambiguous_command with the closest safe supported rule.,Please rephrase the command for the ac in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-014,Lock front door at night,LLM-F65698DC,front_door,door_lock,lock,time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-015,Lock front door at night,LLM-FEBB2C11,front_door,door_lock,lock,time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-016,Turn on garage fan when humidity is high,LLM-64519A8B,garage,fan,turn_on,humidity >= 70,valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-017,Lock front door at night,LLM-79BF6792,front_door,door_lock,lock,time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-018,Turn on bedroom heater when it feels nice,LLM-A3257608,bedroom,heater,turn_on,occupancy == 1,condition_hallucination,0.3,True,The condition was underspecified and defaulted to occupancy The system could not fully resolve the issue with high confidence.,,The verifier could not safely repair the condition_hallucination.,Please rephrase the command for the heater in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-019,Turn on garage fan when humidity is high,LLM-01BBDF21,garage,fan,turn_on,humidity >= 70,valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-020,Turn on AC and heater together in living room,LLM-4FA8A133,living_room,heater,turn_on,occupancy == 1,conflict_hallucination,0.25,True,"The command combines AC and heater together, which is conflicting. The system could not fully resolve the issue with high confidence.",,,Please rephrase the command for the heater in living_room using a single supported action and a clear condition.,generator -> validator -> conflict_checker -> resolver,one_shot
CMD-021,Lock front door at night,LLM-956075CA,front_door,door_lock,lock,time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-022,Turn on light in bathroom when motion is detected,LLM-14AF008B,living_room,light,turn_on,motion == 1,location_hallucination,0.35,True,Bathroom is not part of the supported dataset The system could not fully resolve the issue with high confidence.,,The verifier replaced unsupported fields for location_hallucination with the closest safe supported rule.,Please rephrase the command for the light in living_room using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-023,Unlock camera at front door,LLM-C30D75BA,front_door,camera,turn_on,occupancy == 1,valid,0.62,False,,resolved,The verifier replaced unsupported fields for action_hallucination with the closest safe supported rule.,,generator -> validator -> verifier -> conflict_checker,one_shot
CMD-024,Keep the house comfortable,LLM-A61E7A9C,bedroom,ac,turn_on,temperature >= 27 AND occupancy == 1,ambiguous_command,0.3,True,Comfort command is abstract and may require clarification The system could not fully resolve the issue with high confidence.,,The verifier could not safely repair the ambiguous_command.,Please rephrase the command for the ac in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-024,Keep the house comfortable,LLM-A61E7A9C-B,bedroom,ac,turn_on,temperature >= 27 AND occupancy == 1,ambiguous_command,0.35,True,Comfort command is abstract and may require clarification The system could not fully resolve the issue with high confidence.,,The verifier replaced unsupported fields for ambiguous_command with the closest safe supported rule.,Please rephrase the command for the ac in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-025,Keep bedroom comfortable,LLM-6AC2DBE3,bedroom,ac,turn_on,temperature >= 27 AND occupancy == 1,ambiguous_command,0.3,True,Comfort command is abstract and may require clarification The system could not fully resolve the issue with high confidence.,,The verifier could not safely repair the ambiguous_command.,Please rephrase the command for the ac in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-025,Keep bedroom comfortable,LLM-6AC2DBE3-B,bedroom,ac,turn_on,temperature >= 27 AND occupancy == 1,ambiguous_command,0.35,True,Comfort command is abstract and may require clarification The system could not fully resolve the issue with high confidence.,,The verifier replaced unsupported fields for ambiguous_command with the closest safe supported rule.,Please rephrase the command for the ac in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-026,Open AC in bedroom,LLM-6C61BFA2,bedroom,ac,turn_on,occupancy == 1,valid,0.62,False,,resolved,The verifier replaced unsupported fields for action_hallucination with the closest safe supported rule.,,generator -> validator -> verifier -> conflict_checker,one_shot
CMD-027,Turn on bedroom heater when it feels nice,LLM-39B10E0A,bedroom,heater,turn_on,occupancy == 1,condition_hallucination,0.3,True,The condition was underspecified and defaulted to occupancy The system could not fully resolve the issue with high confidence.,,The verifier could not safely repair the condition_hallucination.,Please rephrase the command for the heater in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-028,Lock front door at night,LLM-B338C49C,front_door,door_lock,lock,time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-029,Lock front door at night,LLM-14721B4A,front_door,door_lock,lock,time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-030,Lock front door at night,LLM-8F03097D,front_door,door_lock,lock,time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-031,Lock front door at night,LLM-6D3A0C17,front_door,door_lock,lock,time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-032,Keep the house comfortable,LLM-751F0423,bedroom,ac,turn_on,temperature >= 27 AND occupancy == 1,ambiguous_command,0.3,True,Comfort command is abstract and may require clarification The system could not fully resolve the issue with high confidence.,,The verifier could not safely repair the ambiguous_command.,Please rephrase the command for the ac in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-032,Keep the house comfortable,LLM-751F0423-B,bedroom,ac,turn_on,temperature >= 27 AND occupancy == 1,ambiguous_command,0.35,True,Comfort command is abstract and may require clarification The system could not fully resolve the issue with high confidence.,,The verifier replaced unsupported fields for ambiguous_command with the closest safe supported rule.,Please rephrase the command for the ac in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-033,Turn on light in bathroom when motion is detected,LLM-A5FE85FD,living_room,light,turn_on,motion == 1,location_hallucination,0.35,True,Bathroom is not part of the supported dataset The system could not fully resolve the issue with high confidence.,,The verifier replaced unsupported fields for location_hallucination with the closest safe supported rule.,Please rephrase the command for the light in living_room using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-034,Turn on light in bathroom when motion is detected,LLM-636351AD,living_room,light,turn_on,motion == 1,location_hallucination,0.35,True,Bathroom is not part of the supported dataset The system could not fully resolve the issue with high confidence.,,The verifier replaced unsupported fields for location_hallucination with the closest safe supported rule.,Please rephrase the command for the light in living_room using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-035,Turn on toaster in garage,LLM-5A65CD36,garage,alarm,turn_on,occupancy == 1,valid,0.62,False,,resolved,The verifier replaced unsupported fields for device_hallucination with the closest safe supported rule.,,generator -> validator -> verifier -> conflict_checker,one_shot
CMD-036,Lock front door at night,LLM-2B8B458C,front_door,door_lock,lock,time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-037,Keep the house comfortable,LLM-9A05DB17,bedroom,ac,turn_on,temperature >= 27 AND occupancy == 1,ambiguous_command,0.3,True,Comfort command is abstract and may require clarification The system could not fully resolve the issue with high confidence.,,The verifier could not safely repair the ambiguous_command.,Please rephrase the command for the ac in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-037,Keep the house comfortable,LLM-9A05DB17-B,bedroom,ac,turn_on,temperature >= 27 AND occupancy == 1,ambiguous_command,0.35,True,Comfort command is abstract and may require clarification The system could not fully resolve the issue with high confidence.,,The verifier replaced unsupported fields for ambiguous_command with the closest safe supported rule.,Please rephrase the command for the ac in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-038,Turn on toaster in garage,LLM-32372FE9,garage,alarm,turn_on,occupancy == 1,valid,0.62,False,,resolved,The verifier replaced unsupported fields for device_hallucination with the closest safe supported rule.,,generator -> validator -> verifier -> conflict_checker,one_shot
CMD-039,Turn on bedroom heater when it feels nice,LLM-114A6DCE,bedroom,heater,turn_on,occupancy == 1,condition_hallucination,0.3,True,The condition was underspecified and defaulted to occupancy The system could not fully resolve the issue with high confidence.,,The verifier could not safely repair the condition_hallucination.,Please rephrase the command for the heater in bedroom using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-040,Open AC in bedroom,LLM-F6A818E4,bedroom,ac,turn_on,occupancy == 1,valid,0.62,False,,resolved,The verifier replaced unsupported fields for action_hallucination with the closest safe supported rule.,,generator -> validator -> verifier -> conflict_checker,one_shot
r -> verifier -> conflict_checker,zero_shot
